price,area,bathroom,bhk,balconies
0.1003717472118959,0.026850000000000002,0.3333333333333333,0.375,0.25
0.028290148698884757,0.021316666666666668,0.2222222222222222,0.25,0.0
0.015241635687732341,0.011166666666666667,0.1111111111111111,0.125,0.0
0.021323420074349442,0.015933333333333334,0.2222222222222222,0.25,0.0
0.10781412639405204,0.028433333333333335,0.3333333333333333,0.375,0.125
0.01754931226765799,0.016916666666666667,0.2222222222222222,0.25,0.25
0.11216542750929367,0.06208333333333334,0.5555555555555556,0.5,0.0
0.01486988847583643,0.007500000000000001,0.1111111111111111,0.125,0.0
0.08921933085501858,0.0275,0.3333333333333333,0.375,0.25
0.010347029739776952,0.007483333333333334,0.1111111111111111,0.125,0.125
0.012197955390334572,0.010416666666666668,0.1111111111111111,0.125,0.125
0.017565055762081783,0.015000000000000001,0.1111111111111111,0.25,0.125
0.07546468401486989,0.018333333333333333,0.2222222222222222,0.25,0.125
0.06691449814126393,0.055,0.5555555555555556,0.5,0.375
0.03345724907063197,0.021750000000000002,0.2222222222222222,0.25,0.25
0.03420074349442379,0.025,0.2222222222222222,0.375,0.125
0.022304832713754646,0.0175,0.2222222222222222,0.25,0.25
0.011895910780669145,0.009583333333333334,0.1111111111111111,0.125,0.125
0.01003717472118959,0.01,0.0,0.125,0.0
0.01598513011152416,0.015000000000000001,0.0,0.25,0.0
0.014126394052044609,0.011250000000000001,0.0,0.125,0.0
0.021561338289962824,0.018333333333333333,0.0,0.25,0.0
0.021561338289962824,0.0175,0.0,0.25,0.0
0.046096654275092935,0.04761666666666667,0.0,0.0,0.0
0.08587360594795539,0.12833333333333333,0.0,0.0,0.0
0.011895910780669145,0.010383333333333335,0.1111111111111111,0.125,0.0
0.01858736059479554,0.01175,0.1111111111111111,0.125,0.0
0.005947955390334572,0.00625,0.1111111111111111,0.125,0.125
0.011524163568773234,0.0125,0.1111111111111111,0.125,0.125
0.07434944237918216,0.030833333333333334,0.0,0.375,0.0
0.031598513011152414,0.025900000000000003,0.0,0.375,0.0
0.03197026022304832,0.0275,0.0,0.375,0.0
0.03717472118959108,0.0275,0.0,0.375,0.0
0.05204460966542751,0.03166666666666667,0.0,0.375,0.0
0.04460966542750929,0.018333333333333333,0.0,0.25,0.0
0.031598513011152414,0.025,0.0,0.375,0.0
0.031598513011152414,0.02666666666666667,0.0,0.375,0.0
0.030855018587360592,0.025833333333333333,0.0,0.375,0.0
0.00929368029739777,0.009166666666666667,0.1111111111111111,0.25,0.125
